"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"CertDCC","CertDCC","","","",0,*,"","","","","Certificate - EU DCC CBOR Web Token Logical Model","Data elements for the EU Digital COVID Certificate Core Data Set.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"CertDCC.iss","CertDCC.iss","","","",0,1,"","","","string {[]} {[]}
","Issuer","Issuer","","","","","","","","","",,,,,"",,,,"CertDCC.iss",0,1,"",""
"CertDCC.sub","CertDCC.sub","","","",0,1,"","","","string {[]} {[]}
","Subject","Subject","","","","","","","","","",,,,,"",,,,"CertDCC.sub",0,1,"",""
"CertDCC.aud","CertDCC.aud","","","",0,1,"","","","string {[]} {[]}
","Audience","Audience","","","","","","","","","",,,,,"",,,,"CertDCC.aud",0,1,"",""
"CertDCC.exp","CertDCC.exp","","","",0,1,"","","","dateTime {[]} {[]}
","Expiration Date","Expiration Date","","","","","","","","","",,,,,"",,,,"CertDCC.exp",0,1,"",""
"CertDCC.nbf","CertDCC.nbf","","","",0,1,"","","","dateTime {[]} {[]}
","Not before Date","Not before Date","","","","","","","","","",,,,,"",,,,"CertDCC.nbf",0,1,"",""
"CertDCC.iat","CertDCC.iat","","","",0,1,"","","","dateTime {[]} {[]}
","Issued at Date","Issued at Date","","","","","","","","","",,,,,"",,,,"CertDCC.iat",0,1,"",""
"CertDCC.id","CertDCC.id","","","",0,1,"","","","string {[]} {[]}
","Identifier","Identifier","","","","","","","","","",,,,,"",,,,"CertDCC.id",0,1,"",""
"CertDCC.data","CertDCC.data","","","",0,1,"","","","string {[]} {[]}
","Certificate","Certificate","","","","","","","","","",,,,,"",,,,"CertDCC.data",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"CertDCC.data.id","CertDCC.data.id","","","",0,1,"","","","string {[]} {[]}
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references)","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"CertDCC.data.extension","CertDCC.data.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the resource. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"CertDCC.data.value","CertDCC.data.value","","","",0,1,"","","","string {[]} {[]}
","Primitive value for string","The actual value","","","","","","","","","",1048576,,,,"",,,,"string.value",0,1,"",""
"CertDCC.data.cert","CertDCC.data.cert","","","",0,1,"","","","BackboneElement {[]} {[]}
","HC1","HC1","","","","","","","","","",,,,,"",,,,"CertDCC.data.cert",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"CertDCC.data.cert.id","CertDCC.data.cert.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"CertDCC.data.cert.extension","CertDCC.data.cert.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
